#file ’datos.dat’
#Nominal power (40W)
#COL1:Distance(d ± 0,001)m
#COL2:Illumination (i ± 0,01)klux
#COL3:Illumination (i ± 1)lux
#COL4:Luminous Flux (Lumen)
#----------------------------
0.070 3.37 3370 0.028
0.070 3.29 3290 0.028
0.070 3.23 3230 0.027
0.070 3.31 3310 0.028
0.070 3.23 3230 0.027
0.140 1.25 1250 0.011
0.140 1.25 1250 0.011
0.140 1.23 1230 0.010
0.140 1.25 1250 0.011
0.140 1.22 1220 0.010
0.210 0.62 620 0.005
0.210 0.62 620 0.005
0.210 0.64 640 0.005
0.210 0.65 650 0.005
0.210 0.62 620 0.005
0.280 0.38 380 0.003
0.280 0.38 380 0.003
0.280 0.37 370 0.003
0.280 0.38 380 0.003
0.280 0.39 390 0.003
0.350 0.24 240 0.002
0.350 0.24 240 0.002
0.350 0.25 250 0.002
0.350 0.24 240 0.002
0.350 0.24 240 0.002
